Walls U Value,Walls Area,Floor U Value,Floor Area,Roof U value,Roof Area,Maintenance Factor,Mid-pane U value,Av Frame Width,Glazing g,Frame U value,Psi Factor,Infiltration Rate,Ventilation Rate,Shelter Factor,TFA,Volume,Occupants,Metabolic Gains,Electrical Gains,MVHR efficiency,W1H,W1W,W1A,W1B,W1dir,W2H,W2W,W2A,W2B,W2dir,W3H,W3W,W3A,W3B,W3dir,W4H,W4W,W4A,W4B,W4dir,Linear TB coef,length of TB,Point TB coef,Number of point TB,Floors,Total Heating E
0.08,2731.46,0.05,944.28,0.14,1030.07,0.47,2.34,1.28,0.81,2.17,0.05,0.86,6.05,0.09,6166.23,178128.66,609.43,2.19,1.02,0.31,7.39,46.21,31.4,124.36,75,87.03,3.48,71.6,111.29,165,2.67,31.75,79.28,144.01,255,8.82,29.16,23.31,37.78,345,-0.1,1898.9,13.36,489.0,8.0,171.17
0.12,1015.79,0.07,115.08,0.09,123.46,0.32,2.16,3.29,0.55,0.39,0.07,3.18,16.6,0.1,776.33,16368.02,85.12,1.43,1.18,0.35,9.89,8.37,38.52,40.81,25,27.21,2.29,63.97,93.24,115,9.17,3.09,84.3,12.02,205,23.36,2.54,16.89,107.41,295,0.19,281.4,7.95,34.18,7.0,241.38
0.02,1000.58,0.17,667.34,0.13,802.85,0.13,1.7,2.5,0.79,0.29,0.05,1.87,14.22,0.07,3116.84,41680.63,351.32,3.74,1.12,0.6,4.95,29.47,84.5,79.11,11,6.22,33.65,50.82,22.94,101,22.78,7.4,31.39,103.35,191,13.61,14.18,43.48,5.61,281,-0.06,910.01,13.49,450.86,5.0,221.04
0.15,1575.48,0.07,1091.36,0.09,1356.92,0.59,4.41,1.5,0.69,0.11,0.06,3.97,9.56,0.07,3880.68,59520.95,810.88,1.19,0.84,0.85,19.8,16.4,16.11,36.62,56,33.3,5.6,18.99,33.81,146,3.59,67.87,55.21,155.32,236,51.86,5.65,6.86,24.48,326,0.26,1248.33,10.22,2580.51,5.0,790.13
0.05,784.81,0.04,1570.19,0.13,1958.44,0.21,4.22,1.2,0.51,2.69,0.07,4.51,7.44,0.1,5426.3,70997.34,162.61,3.05,0.99,0.33,35.39,7.82,5.85,69.33,80,10.63,25.94,27.43,47.23,170,8.38,49.85,8.77,95.1,260,32.24,15.35,2.98,39.92,350,0.15,1156.87,3.01,1426.49,4.0,366.85
0.11,1617.02,0.16,1380.83,0.03,1414.13,0.63,1.52,1.12,0.56,2.05,0.07,1.19,27.6,0.1,7831.09,187950.27,412.4,1.91,0.97,0.47,24.44,23.47,2.46,39.06,59,70.99,4.09,31.38,132.13,149,5.14,106.27,27.05,155.16,239,6.75,92.64,89.87,140.66,329,0.17,595.0,0.95,2243.05,8.0,118.68
0.09,1475.49,0.07,1420.96,0.11,1436.37,0.68,3.23,1.7,0.51,1.36,0.05,4.84,27.71,0.05,6215.75,117229.54,755.32,1.36,0.79,0.74,31.1,23.0,7.55,16.48,86,27.69,20.0,34.54,44.18,176,33.44,5.35,19.86,116.48,266,3.34,68.91,34.39,54.11,356,0.34,521.55,2.36,757.08,5.0,229.53
0.03,2096.95,0.03,490.51,0.12,585.17,0.45,4.13,1.26,0.37,1.62,0.06,3.68,23.55,0.08,2572.71,64795.44,115.76,2.78,1.38,0.7,16.26,8.9,42.66,52.61,53,4.89,23.11,62.89,160.98,143,10.41,6.01,35.24,40.01,233,16.39,7.14,21.82,29.77,323,0.26,1055.19,24.17,1528.81,7.0,1511.26
0.13,245.22,0.18,1241.84,0.04,1327.32,0.69,3.03,0.35,0.74,2.81,0.05,4.47,9.75,0.06,1165.09,4930.0,91.07,2.79,0.77,0.79,4.55,15.59,16.94,119.97,57,7.65,7.05,42.62,90.39,147,13.49,6.99,73.73,63.29,237,3.27,18.52,7.62,97.83,327,0.0,70.64,18.74,644.74,1.0,976.17
0.1,1145.41,0.17,589.0,0.08,654.23,0.57,3.88,2.76,0.59,0.96,0.05,4.29,12.03,0.04,2545.61,40147.27,341.23,2.58,1.14,0.45,4.61,27.42,80.17,106.45,24,6.68,16.31,88.87,150.17,114,30.88,3.78,56.89,129.37,204,31.2,3.4,28.55,85.29,294,0.07,724.71,4.89,1169.77,6.0,290.18
0.15,897.79,0.04,224.89,0.11,249.56,0.8,3.04,1.84,0.67,1.61,0.06,4.15,10.01,0.07,1522.09,34664.23,329.12,2.35,1.38,0.78,7.91,14.44,47.28,51.62,7,21.8,4.82,59.29,171.45,97,22.41,4.54,89.48,66.55,187,2.58,58.5,84.62,55.18,277,0.09,856.85,23.16,172.1,8.0,454.32
0.06,209.43,0.09,674.02,0.03,723.53,0.67,2.92,0.6,0.63,2.68,0.06,3.87,13.87,0.08,1201.85,5472.71,223.0,4.41,1.1,0.75,15.19,7.88,16.96,103.39,61,3.42,19.39,29.51,5.03,151,4.8,33.23,18.8,168.16,241,11.35,5.56,60.18,125.87,331,0.19,47.19,4.71,709.05,2.0,414.49
0.06,835.6,0.03,156.64,0.13,197.91,0.64,3.36,0.55,0.38,2.75,0.04,3.27,26.2,0.09,712.32,11789.71,128.1,1.52,1.15,0.75,2.82,23.04,75.69,137.42,50,15.15,4.25,69.45,132.44,140,1.74,39.42,8.66,43.07,230,5.66,9.07,20.07,149.01,320,0.38,232.85,5.06,217.04,5.0,432.67
0.07,1530.98,0.04,669.56,0.08,700.48,0.66,2.74,2.0,0.52,1.97,0.05,2.28,23.21,0.09,2993.54,47703.09,284.1,1.56,0.99,0.51,7.39,21.23,53.92,179.77,67,14.06,10.65,48.91,45.63,157,6.45,9.83,32.31,8.0,247,13.67,14.53,61.82,2.01,337,0.16,817.16,10.77,691.75,5.0,369.66
0.03,504.53,0.06,2162.18,0.07,2201.58,0.62,3.59,1.6,0.66,0.42,0.03,1.94,18.36,0.04,8499.71,147447.73,436.98,4.35,0.83,0.55,12.74,62.93,3.67,68.69,60,5.05,87.75,50.96,48.86,150,49.05,18.25,65.37,110.07,240,28.84,34.82,65.24,16.68,330,0.01,1190.61,10.85,568.28,5.0,169.38
0.18,1432.61,0.17,998.88,0.07,1025.63,0.54,4.3,2.87,0.52,0.46,0.06,2.62,22.48,0.04,6138.49,125554.28,804.67,1.15,1.26,0.49,22.73,16.04,8.24,97.84,71,12.03,20.82,72.41,61.22,161,7.21,30.02,68.86,113.44,251,16.81,8.96,0.22,173.03,341,0.38,367.23,26.5,516.23,7.0,335.15
0.12,539.74,0.04,901.54,0.15,1162.32,0.75,3.72,0.66,0.63,0.12,0.05,3.28,21.66,0.06,1677.47,9906.14,259.35,4.03,1.24,0.53,5.09,20.34,14.67,155.93,63,17.99,5.44,60.27,127.14,153,15.47,3.13,14.45,104.13,243,11.0,13.89,35.08,78.36,333,0.14,184.63,29.93,1565.89,2.0,2535.71
0.11,244.41,0.12,119.02,0.13,121.41,0.24,4.72,0.12,0.76,0.33,0.03,4.73,19.3,0.03,112.9,477.73,20.65,1.39,1.21,0.84,10.65,0.61,27.89,159.18,23,2.53,2.86,86.67,151.29,113,1.08,3.85,69.62,159.24,203,1.51,0.8,17.39,106.82,293,0.37,35.56,20.72,3.66,1.0,186.49
0.15,527.27,0.09,772.97,0.12,895.94,0.35,2.87,0.38,0.35,1.7,0.04,5.61,7.1,0.1,1452.53,10642.03,56.63,1.78,1.11,0.84,10.01,11.1,6.75,87.55,43,3.84,9.67,0.72,81.89,133,29.21,2.81,17.46,54.57,223,7.95,13.06,63.24,153.64,313,0.23,72.56,19.51,1423.22,2.0,1822.68
0.09,455.54,0.03,197.57,0.06,226.57,0.9,3.74,0.72,0.61,1.33,0.03,1.47,14.53,0.06,340.35,2972.06,75.35,3.77,1.0,0.61,11.14,2.26,30.3,104.46,51,5.02,4.72,72.23,154.24,141,2.86,11.45,89.61,134.38,231,1.9,12.52,58.83,4.61,321,0.39,141.88,6.45,13.64,2.0,124.26
0.04,1056.71,0.1,1786.32,0.09,2154.08,0.48,1.55,1.4,0.54,1.11,0.06,4.08,26.33,0.05,5923.68,72377.14,667.63,3.8,0.78,0.71,11.23,19.96,57.31,29.13,10,24.44,11.98,2.71,106.59,100,20.34,20.75,48.54,76.44,190,20.22,23.89,15.8,17.09,280,0.07,54.69,29.97,545.83,4.0,329.03
0.16,1380.3,0.06,705.38,0.11,773.03,0.8,1.0,1.88,0.62,2.28,0.06,5.21,17.63,0.07,2597.48,34600.17,70.91,2.3,0.88,0.81,5.6,17.85,51.73,108.66,66,10.32,7.81,30.42,1.69,156,3.72,41.3,11.66,120.39,246,9.51,8.58,68.21,133.11,336,0.08,506.92,1.26,1722.66,4.0,222.57
0.15,966.1,0.17,628.45,0.02,807.79,0.57,3.27,1.3,0.33,1.13,0.04,3.09,19.2,0.06,2723.51,41951.85,523.71,2.28,0.94,0.68,16.78,6.66,71.75,110.27,88,7.9,19.9,28.68,27.88,178,12.25,10.82,85.07,62.37,268,14.96,9.57,20.24,121.59,358,0.36,451.32,16.62,1099.81,5.0,736.48
0.03,514.47,0.18,1590.54,0.08,1658.43,0.74,3.61,1.35,0.66,0.98,0.05,3.37,8.57,0.06,3816.26,48798.71,520.06,2.01,1.07,0.94,8.21,67.04,73.26,178.52,71,14.32,12.92,40.23,137.01,161,35.08,6.79,34.53,111.69,251,35.89,10.08,78.9,141.0,341,-0.01,57.51,14.84,391.12,3.0,216.47
0.14,1972.94,0.09,669.26,0.07,726.26,0.59,3.12,0.9,0.39,2.77,0.05,5.93,27.41,0.1,3161.9,64557.38,779.17,1.75,1.15,0.37,7.01,15.61,17.26,163.81,79,15.19,5.47,44.98,126.16,169,17.64,9.66,36.9,157.7,259,14.41,9.93,43.33,44.01,349,0.04,581.36,5.85,377.89,5.0,548.35
0.06,1263.91,0.1,995.58,0.12,1092.87,0.87,3.07,2.73,0.78,0.69,0.07,3.83,6.96,0.05,6422.69,158052.83,534.34,4.22,1.21,0.61,28.52,12.42,7.27,158.24,56,40.52,9.73,59.34,151.13,146,11.13,57.47,30.1,167.49,236,16.99,27.93,24.81,63.73,326,0.16,1203.58,25.95,1272.66,7.0,584.19
0.09,1665.32,0.12,180.2,0.1,195.45,0.21,1.39,2.38,0.56,1.23,0.05,5.93,19.28,0.07,907.75,19328.47,61.06,4.32,0.89,0.64,12.09,5.76,64.27,36.26,28,5.45,17.38,89.88,17.55,118,2.18,22.68,6.42,89.57,208,6.04,8.17,74.28,143.39,298,0.05,1128.85,7.63,1209.5,7.0,1211.73
0.17,1561.25,0.06,521.31,0.06,636.52,0.82,4.53,2.88,0.73,2.45,0.05,5.94,6.71,0.07,3910.23,115393.47,746.21,3.49,1.36,0.78,31.57,15.03,18.79,169.75,66,14.82,34.02,34.74,16.53,156,11.33,19.11,15.18,37.35,246,35.24,7.14,31.02,170.29,336,0.12,1290.68,1.65,1098.89,8.0,515.77
0.08,1211.05,0.02,937.94,0.12,1168.64,0.32,2.59,1.5,0.62,1.4,0.06,2.98,27.31,0.03,3777.9,56284.03,167.33,3.54,1.38,0.76,29.4,9.55,66.85,53.34,55,32.89,5.53,65.42,50.12,145,13.65,16.85,35.98,126.65,235,6.12,22.63,53.87,92.62,325,-0.05,484.79,16.44,785.3,5.0,338.58
0.15,1024.91,0.17,1467.42,0.15,1765.84,0.48,1.62,2.05,0.48,2.21,0.05,3.8,6.64,0.03,6810.86,102742.81,1150.22,1.07,1.49,0.54,15.28,17.67,89.29,125.41,87,55.44,9.78,33.5,123.63,177,10.51,31.25,11.95,139.04,267,18.98,22.43,35.26,65.78,357,0.32,1348.77,25.82,83.72,5.0,113.27
0.17,582.03,0.03,666.87,0.15,682.88,0.9,3.9,2.16,0.47,2.12,0.03,2.62,17.07,0.07,5043.94,102388.13,775.94,1.73,0.89,0.84,35.08,17.68,37.86,17.23,38,16.42,17.1,87.36,160.79,128,11.1,46.24,89.71,98.77,218,13.82,29.04,73.97,150.82,308,0.08,441.1,13.53,442.72,8.0,281.7
0.11,740.43,0.05,754.06,0.08,761.29,0.47,3.99,0.88,0.49,1.89,0.03,1.39,17.11,0.04,1376.38,12920.97,137.69,1.24,1.19,0.35,36.14,2.26,6.01,130.76,28,9.99,10.62,85.69,152.02,118,13.18,4.9,68.0,178.11,208,13.79,5.65,88.91,51.35,298,-0.06,143.68,21.54,1081.24,2.0,1567.72
0.15,1779.15,0.02,618.19,0.11,645.64,0.2,3.03,1.2,0.66,1.37,0.05,5.57,25.57,0.05,2641.96,51811.0,66.51,1.51,0.85,0.53,37.22,6.57,51.7,3.96,65,9.64,20.26,10.21,59.33,155,8.44,31.21,26.48,169.53,245,13.4,10.61,86.92,7.56,335,0.31,1087.91,12.59,1673.11,5.0,969.47
0.09,93.77,0.16,1022.77,0.12,1168.09,0.51,4.66,0.45,0.79,1.73,0.05,1.96,27.1,0.08,931.29,2626.97,49.01,3.9,0.91,0.88,8.65,5.4,21.99,108.58,44,3.55,12.19,9.45,166.11,134,5.28,13.74,67.04,81.91,224,2.07,42.84,47.14,139.92,314,0.38,264.59,4.75,365.94,1.0,278.54
0.14,869.19,0.16,1594.06,0.03,2014.94,0.87,2.86,3.92,0.79,0.09,0.06,0.8,16.69,0.04,10604.31,313529.62,1578.82,3.01,0.74,0.84,5.41,135.33,19.74,104.17,26,11.84,64.02,73.73,98.75,116,30.88,16.91,83.96,43.82,206,29.03,25.65,88.97,154.57,296,-0.04,2489.45,2.94,2249.62,8.0,68.57
0.03,284.74,0.03,598.42,0.12,750.09,0.43,4.67,1.2,0.35,0.41,0.06,4.05,21.84,0.1,1432.34,13771.06,210.81,2.22,1.34,0.61,12.38,8.12,5.11,77.61,26,25.19,5.8,71.48,147.49,116,26.91,5.21,40.42,138.89,206,4.65,27.67,29.03,51.6,296,-0.08,412.93,23.22,362.19,3.0,706.15
0.08,1144.46,0.17,595.35,0.05,735.64,0.15,0.96,1.05,0.56,1.13,0.06,5.56,9.46,0.07,1393.48,13471.33,46.3,1.86,1.29,0.71,5.28,18.78,20.42,10.49,48,2.65,50.13,82.75,98.42,138,7.07,7.22,63.48,34.55,228,10.36,3.61,75.25,7.91,318,0.24,235.89,11.38,752.04,3.0,676.11
0.15,1081.3,0.07,1132.6,0.15,1399.89,0.27,4.21,0.22,0.42,2.56,0.06,4.73,9.27,0.06,2032.28,13484.13,285.7,3.31,0.73,0.9,6.7,9.05,3.85,125.6,70,14.9,3.15,12.67,108.21,160,9.41,11.36,24.69,163.1,250,2.1,52.59,78.04,140.45,340,0.12,489.81,28.44,2307.51,2.0,2909.73
0.09,936.38,0.14,173.97,0.03,181.58,0.71,3.86,0.9,0.68,2.17,0.07,4.98,12.65,0.05,774.77,11452.53,21.4,1.5,0.9,0.73,7.23,4.28,84.97,152.32,16,5.58,6.59,41.57,98.5,106,4.59,7.17,14.56,103.24,196,5.4,5.74,4.26,60.15,286,0.13,186.35,28.74,1039.71,5.0,3525.82
0.03,1730.94,0.05,856.82,0.11,896.82,0.45,3.82,2.1,0.4,1.6,0.04,2.32,18.12,0.09,4401.16,83497.13,950.04,2.16,0.94,0.94,44.13,4.52,14.65,76.67,46,11.07,18.67,55.04,111.01,136,52.13,3.8,21.92,3.18,226,30.31,3.3,86.74,52.05,316,-0.08,198.63,28.77,52.56,6.0,149.38
0.14,1306.63,0.11,194.71,0.07,252.94,0.41,1.11,1.47,0.56,2.28,0.06,1.11,14.16,0.03,1090.59,22410.09,76.15,1.36,0.86,0.49,8.56,7.56,70.9,168.97,12,8.57,5.48,74.42,153.78,102,12.14,5.61,43.55,119.38,192,10.94,6.48,10.73,120.81,282,0.07,802.75,7.11,46.79,7.0,89.8
0.15,917.38,0.06,614.62,0.09,779.62,0.21,1.98,1.38,0.82,1.61,0.06,5.53,9.87,0.05,1558.02,16753.34,247.84,1.43,1.07,0.69,8.39,9.91,60.49,32.84,89,21.91,5.05,59.23,86.48,179,14.93,10.79,84.74,48.79,269,6.99,13.87,80.73,90.16,359,0.19,600.11,27.1,695.77,3.0,1186.66
0.13,680.17,0.1,258.83,0.08,294.53,0.18,4.8,1.44,0.38,0.31,0.03,5.01,17.24,0.08,843.04,9254.77,154.17,1.33,0.72,0.54,19.48,4.12,41.14,131.27,56,30.77,1.92,32.86,65.5,146,17.83,6.42,34.78,86.92,236,4.72,10.51,59.44,44.09,326,0.18,77.46,3.41,896.72,4.0,499.3
0.03,309.43,0.05,278.32,0.15,354.6,0.32,4.59,0.36,0.52,1.06,0.04,3.63,7.23,0.07,650.89,5232.92,154.87,3.25,1.08,0.9,23.31,1.96,23.22,113.1,47,8.27,5.84,57.24,52.02,137,35.31,1.41,36.15,123.99,227,11.95,4.3,5.71,82.2,317,-0.03,134.74,15.21,239.05,3.0,598.74
0.12,237.59,0.06,514.13,0.08,665.95,0.37,1.91,0.64,0.34,0.38,0.03,4.01,11.13,0.03,882.11,3736.64,43.4,1.45,1.42,0.67,1.71,29.65,54.75,46.09,77,18.17,4.19,68.85,136.81,167,30.89,2.97,25.95,118.62,257,25.69,3.52,76.38,46.72,347,0.17,263.1,6.88,424.66,2.0,324.73
0.1,225.46,0.13,1884.44,0.05,2393.08,0.86,3.57,0.57,0.64,2.02,0.06,1.21,24.67,0.04,5307.25,34556.58,1284.05,1.7,1.37,0.62,10.52,23.43,31.67,40.05,74,18.9,14.3,24.6,84.94,164,13.53,21.67,31.22,65.27,254,16.69,15.06,67.12,146.44,344,0.07,930.2,19.21,1728.23,3.0,639.49
0.11,978.0,0.04,635.97,0.08,686.08,0.42,3.23,2.22,0.77,0.48,0.06,5.23,20.93,0.06,2639.02,57948.15,554.19,1.59,0.93,0.73,29.88,6.6,69.53,62.58,1,6.92,17.99,55.34,28.47,91,7.55,30.18,44.4,42.96,181,10.74,22.56,23.05,54.88,271,0.33,378.85,26.16,865.32,6.0,1045.82
0.17,1667.03,0.07,1444.61,0.08,1707.69,0.7,2.02,0.85,0.8,0.32,0.03,5.75,23.47,0.08,6225.53,125355.61,292.36,2.43,1.35,0.51,18.75,17.28,61.56,72.0,6,18.51,14.99,6.95,36.18,96,15.45,26.75,18.21,58.88,186,26.16,8.8,5.8,2.41,276,0.19,1174.1,12.5,404.97,5.0,358.34
0.17,2890.17,0.02,931.63,0.05,1076.33,0.62,3.69,1.19,0.76,2.74,0.07,3.44,26.9,0.08,4799.07,159929.72,403.35,2.53,1.46,0.9,5.35,52.26,52.5,42.86,4,54.41,5.57,35.78,29.65,94,52.27,6.04,16.8,12.01,184,49.58,6.07,53.17,70.23,274,0.05,967.31,29.19,2776.55,7.0,1775.18
0.12,1234.06,0.04,282.22,0.17,350.61,0.66,2.84,1.38,0.76,1.51,0.06,2.59,8.31,0.09,1440.99,27715.27,249.74,2.32,0.75,0.83,35.23,5.09,38.18,82.16,26,3.56,12.67,2.46,129.03,116,15.87,9.17,14.98,110.51,206,9.05,14.87,34.03,171.13,296,-0.06,728.47,26.82,887.42,6.0,1613.02
0.14,907.74,0.17,673.5,0.03,849.83,0.42,2.95,1.38,0.73,1.47,0.05,3.51,6.23,0.05,3315.53,86980.46,488.72,3.41,1.19,0.68,34.39,7.6,21.68,106.14,26,9.97,18.7,76.64,69.59,116,8.81,33.85,33.46,95.74,206,59.89,6.92,36.67,11.58,296,0.33,1131.55,4.23,527.27,6.0,266.34
0.16,677.11,0.11,864.1,0.13,940.99,0.54,3.09,0.84,0.76,2.44,0.04,5.99,17.75,0.07,4603.44,67637.05,414.24,4.05,1.41,0.7,12.31,37.89,89.84,149.84,35,31.0,14.76,17.95,97.97,125,18.43,14.93,1.1,93.58,215,32.53,9.84,29.17,43.49,305,0.35,489.73,13.91,663.42,6.0,396.32
0.09,952.95,0.17,155.49,0.1,193.01,0.57,1.86,1.35,0.38,2.09,0.05,3.87,24.19,0.08,633.04,12413.39,13.41,2.05,1.5,0.76,2.04,30.12,65.64,81.88,26,10.2,3.55,68.87,162.99,116,5.71,11.66,82.56,3.93,206,3.93,17.8,30.29,126.48,296,0.09,302.71,4.03,951.15,5.0,751.44
0.09,282.9,0.09,496.88,0.18,524.72,0.32,4.57,0.44,0.65,1.61,0.06,4.75,28.46,0.04,487.32,1346.01,43.04,3.69,1.24,0.32,4.82,3.4,73.34,154.22,51,2.01,13.94,81.33,90.89,141,16.33,1.57,29.74,144.88,231,3.7,6.07,40.17,109.37,321,0.27,32.11,23.05,104.99,1.0,534.44
0.09,1122.92,0.17,989.34,0.03,1282.58,0.55,2.2,1.17,0.49,2.51,0.04,1.7,21.77,0.05,2657.35,32607.38,638.3,3.71,1.26,0.31,3.98,41.37,39.42,66.13,68,5.07,26.2,71.68,72.7,158,7.54,21.65,51.38,56.31,248,6.63,22.73,39.77,31.68,338,0.21,646.34,27.38,865.98,3.0,951.37
0.06,1140.99,0.15,1205.41,0.15,1395.72,0.66,4.27,1.2,0.82,0.91,0.03,0.71,18.23,0.07,5494.43,115263.62,1323.58,1.33,1.16,0.94,47.03,14.75,41.95,111.41,18,19.86,11.78,7.58,64.25,108,32.12,19.54,81.98,109.22,198,19.56,18.79,7.46,62.87,288,0.39,1202.79,2.97,456.61,6.0,126.49
0.13,1491.69,0.05,1073.77,0.1,1076.97,0.62,3.39,1.5,0.39,1.45,0.03,5.49,5.31,0.06,6034.16,153601.21,268.94,2.93,0.71,0.37,17.29,25.71,45.91,179.14,71,24.83,32.06,82.7,100.58,161,4.64,116.03,85.56,94.8,251,16.12,39.36,47.02,138.24,341,0.23,1209.44,15.58,308.24,6.0,490.5
0.07,184.28,0.07,312.37,0.16,363.71,0.78,4.58,0.38,0.75,0.17,0.04,2.09,22.89,0.09,306.51,965.51,57.34,2.14,1.48,0.57,12.32,2.84,4.3,23.75,35,15.55,1.13,20.99,18.64,125,4.84,5.15,26.37,82.31,215,4.27,5.52,38.8,50.56,305,0.14,146.93,28.29,284.95,1.0,2436.13
0.13,2230.43,0.06,1595.02,0.02,1623.84,0.21,3.56,3.76,0.39,0.72,0.05,3.48,6.2,0.06,11669.5,402602.79,1093.25,1.58,1.32,0.51,31.27,45.39,82.45,154.05,22,71.65,6.45,4.01,50.03,112,21.91,51.86,18.26,9.01,202,89.23,8.03,39.36,18.49,292,0.25,537.6,18.76,2659.45,8.0,607.4
0.17,2211.93,0.18,781.69,0.05,994.27,0.15,1.23,2.52,0.6,0.27,0.05,4.65,25.48,0.04,3493.04,78515.35,819.26,3.28,1.08,0.45,87.05,5.44,32.22,114.8,29,29.24,9.84,15.51,134.99,119,22.99,8.0,13.98,27.24,209,42.36,4.9,84.89,34.63,299,0.32,107.53,6.59,2404.65,6.0,599.88
0.03,779.9,0.13,955.4,0.08,1168.6,0.24,4.39,1.4,0.72,0.39,0.05,3.49,27.88,0.09,3254.57,32881.23,548.71,1.39,0.97,0.8,10.47,12.1,30.8,87.02,78,35.63,5.42,47.43,166.85,168,36.07,3.03,20.91,154.29,258,14.55,10.76,72.22,0.17,348,0.34,464.93,18.56,409.18,4.0,345.7
0.05,358.66,0.15,483.34,0.16,516.99,0.75,1.99,0.36,0.33,2.33,0.04,2.7,13.66,0.09,825.13,5651.55,66.87,2.58,0.84,0.79,3.15,18.76,79.29,125.35,55,3.75,8.88,26.64,146.43,145,5.68,9.84,44.51,7.46,235,12.81,3.87,1.12,44.79,325,0.31,60.07,25.53,78.81,2.0,300.96
0.16,3077.02,0.09,654.79,0.16,682.96,0.83,4.34,2.16,0.6,0.98,0.07,2.68,22.3,0.06,4306.9,130287.89,885.36,3.67,1.43,0.31,6.34,37.73,2.07,67.3,44,4.5,32.89,35.9,163.11,134,18.88,9.25,70.74,129.13,224,8.32,25.61,37.83,122.68,314,-0.08,875.05,0.73,2895.18,8.0,280.02
