Walls U Value,Walls Area,Floor U Value,Floor Area,Roof U value,Roof Area,Maintenance Factor,Mid-pane U value,Av Frame Width,Glazing g,Frame U value,Psi Factor,Infiltration Rate,Ventilation Rate,Shelter Factor,TFA,Volume,Occupants,Metabolic Gains,Electrical Gains,MVHR efficiency,W1H,W1W,W1A,W1B,W1dir,W2H,W2W,W2A,W2B,W2dir,W3H,W3W,W3A,W3B,W3dir,W4H,W4W,W4A,W4B,W4dir,Linear TB coef,length of TB,Point TB coef,Number of point TB,Floors,Total Heating E
0.14,2023.41,0.13,211.02,0.17,1658.61,0.71,1.33,1.28,0.52,2.87,0.06,1.51,7.31,0.04,4496.32,14508.71,389.69,3.94,0.77,0.48,8.8,20.06,14.2,62.78,151.64,8.2,27.28,20.47,172.01,3.43,29.8,6.21,35.15,2.96,297.5,7.17,16.02,68.87,32.54,206.06,0.36,418.2,15.38,2323.47,5.0,706.63
0.12,841.05,0.03,225.87,0.07,92.45,0.42,4.4,0.31,0.66,1.13,0.03,5.56,26.83,0.08,2004.38,881.18,3373.0,2.52,1.0,0.76,18.66,38.76,57.8,31.57,156.4,30.29,30.21,54.09,67.97,42.99,11.19,18.79,45.12,171.83,222.82,6.38,28.93,80.09,42.6,112.77,0.31,829.67,24.13,292.05,3.0,1021.77
0.1,1801.03,0.09,453.8,0.12,514.21,0.47,4.31,3.78,0.52,2.59,0.07,1.08,25.85,0.06,11667.46,620.53,797.46,1.48,1.15,0.79,9.75,24.38,27.36,4.16,285.3,26.8,17.83,9.67,74.91,249.48,7.33,14.52,19.14,171.33,56.6,16.41,39.8,13.33,21.63,220.58,0.37,363.06,12.76,270.85,3.0,58.76
0.03,473.73,0.1,613.73,0.16,788.93,0.54,4.82,1.18,0.57,0.86,0.05,5.23,24.04,0.06,1441.26,14117.54,3428.55,3.45,1.46,0.52,35.38,11.18,88.51,137.4,212.68,1.72,24.29,24.6,134.69,103.51,18.77,25.8,71.78,150.37,138.11,7.04,20.36,23.26,109.48,245.34,0.28,967.04,14.58,2543.15,6.0,3339.68
0.05,346.08,0.16,306.38,0.15,430.06,0.72,1.57,2.51,0.51,1.06,0.06,2.15,18.86,0.05,6484.94,8219.01,2672.39,2.43,1.38,0.44,11.85,21.92,60.87,137.4,305.68,1.82,35.49,82.09,152.26,63.07,29.26,38.81,67.09,121.61,131.05,35.51,17.3,22.03,98.96,226.77,0.05,1452.08,1.56,1000.85,2.0,142.35
0.04,1328.83,0.05,1122.1,0.18,1190.87,0.81,3.94,3.21,0.33,2.13,0.04,5.85,24.36,0.03,1971.92,25316.02,2009.79,3.65,0.79,0.32,30.28,5.37,14.79,156.34,162.39,8.35,19.0,34.68,133.18,109.03,40.5,19.61,42.18,129.32,176.96,6.01,14.85,77.65,72.92,209.38,0.4,1358.59,10.39,2493.78,5.0,1800.61
0.12,2100.1,0.12,680.99,0.06,403.13,0.81,2.7,1.24,0.45,0.92,0.03,2.93,7.82,0.09,5435.08,2756.23,3200.21,1.4,0.81,0.86,11.26,10.79,76.58,24.84,195.78,27.43,38.21,0.32,160.24,60.44,6.89,21.98,48.68,165.21,34.01,7.39,16.4,23.01,172.86,125.62,-0.01,104.28,3.81,125.62,8.0,90.63
0.16,598.75,0.07,162.98,0.07,508.46,0.32,2.16,3.77,0.51,0.39,0.07,4.13,11.44,0.09,5887.79,9421.74,2380.59,4.04,1.25,0.87,7.0,21.85,18.58,105.35,29.81,8.54,19.75,83.56,66.88,24.86,41.91,10.16,35.63,73.1,11.02,14.85,10.96,84.59,132.05,233.86,0.15,1245.85,3.45,2934.72,1.0,151.34
0.09,2555.72,0.04,1221.7,0.17,405.24,0.24,4.54,3.21,0.64,0.86,0.04,5.44,13.35,0.09,2140.44,7291.77,2080.07,1.88,0.72,0.62,16.55,33.76,39.29,55.33,303.0,23.32,7.16,82.72,167.38,320.19,8.66,27.31,83.12,14.71,335.31,1.39,8.49,69.77,59.39,15.06,0.17,1365.23,14.12,2634.48,1.0,1421.4
0.07,932.81,0.15,271.88,0.16,1215.12,0.19,3.22,0.82,0.75,0.79,0.06,1.87,14.22,0.07,184.28,8823.06,1612.48,3.74,1.12,0.6,5.46,8.3,24.04,151.48,239.7,40.26,11.46,14.56,131.02,148.16,15.84,14.02,51.59,6.77,321.21,29.13,9.72,41.18,165.12,173.9,-0.06,1401.19,13.49,752.92,2.0,7665.11
0.15,1281.51,0.07,1097.38,0.09,997.29,0.69,1.46,0.73,0.39,2.12,0.05,0.59,10.47,0.05,770.15,8331.72,3922.35,1.44,1.38,0.38,15.07,18.55,22.24,42.66,236.05,35.19,29.93,27.54,26.59,207.25,22.11,10.31,38.54,159.11,155.99,27.77,16.57,4.1,95.43,92.54,-0.09,1084.49,14.92,886.07,5.0,2803.71
0.1,1135.74,0.07,661.09,0.07,557.78,0.18,1.09,0.91,0.59,1.0,0.05,1.24,27.35,0.1,7966.79,774.71,3245.4,2.77,1.01,0.73,25.38,2.56,17.47,115.43,256.83,33.95,21.83,78.91,59.66,44.22,7.97,11.8,13.9,114.3,18.27,15.67,16.09,46.97,146.69,296.71,0.35,403.1,1.05,1789.27,1.0,92.21
0.07,3408.79,0.16,934.39,0.17,362.81,0.89,1.98,0.82,0.38,2.54,0.06,5.24,12.62,0.05,486.84,7546.93,2222.79,1.21,0.86,0.5,34.78,29.05,67.88,70.63,274.44,18.12,9.02,79.23,70.47,319.04,9.46,15.93,41.2,107.52,280.88,31.5,17.16,70.55,54.29,215.6,0.12,34.96,18.51,2503.09,8.0,3250.43
0.16,250.26,0.12,520.47,0.14,483.97,0.13,4.58,0.98,0.67,2.72,0.04,1.28,21.81,0.07,553.94,22676.95,341.94,2.0,1.01,0.47,17.32,21.71,82.78,28.94,324.57,14.67,2.69,62.93,40.61,46.87,28.07,14.24,66.15,174.15,194.2,26.23,4.58,13.42,165.38,78.94,0.29,1010.09,4.16,1629.12,1.0,1800.2
0.12,1148.59,0.13,336.43,0.16,819.34,0.22,3.19,1.12,0.56,0.5,0.04,1.91,8.12,0.09,2717.31,251.57,3717.69,1.5,0.91,0.52,30.93,10.95,80.17,108.84,124.47,21.62,20.15,3.63,148.06,83.2,7.96,6.88,41.86,171.15,193.87,21.12,3.59,66.49,54.09,310.31,0.03,50.72,16.4,735.45,4.0,607.69
0.14,2591.59,0.09,1354.34,0.07,370.62,0.23,2.88,0.11,0.34,0.16,0.04,5.73,26.44,0.06,2687.12,12896.5,434.91,3.99,1.44,0.57,25.05,9.77,11.72,151.89,32.86,22.79,31.72,19.09,62.14,317.9,39.53,16.8,45.29,111.01,53.41,17.86,39.52,81.64,112.33,321.38,0.28,1078.69,27.14,2260.2,8.0,1670.15
0.05,316.64,0.08,392.82,0.14,446.99,0.58,4.86,0.96,0.68,3.0,0.05,1.12,10.51,0.04,2717.02,5008.55,1538.86,2.5,0.89,0.68,17.36,33.95,17.37,17.54,41.99,32.3,23.41,29.1,13.63,155.34,37.58,1.25,12.26,102.15,67.73,20.96,10.73,44.31,149.93,335.32,0.19,270.52,22.32,163.28,8.0,370.68
0.17,2885.79,0.02,1755.23,0.05,2043.17,0.12,1.2,0.62,0.75,0.69,0.05,2.09,19.57,0.07,4790.24,21310.36,3741.38,3.23,1.21,0.66,11.71,17.11,65.3,42.22,82.93,15.59,14.23,79.79,115.53,263.33,20.03,18.54,36.96,156.83,347.71,10.23,22.29,20.0,126.11,112.15,0.26,103.6,16.94,1188.72,4.0,525.43
0.08,1349.17,0.13,1097.92,0.05,349.73,0.42,1.09,1.46,0.62,2.84,0.04,1.22,21.43,0.04,4540.79,16402.07,2064.57,2.9,0.88,0.63,1.77,12.1,46.11,1.78,89.97,8.75,5.78,82.08,74.69,94.61,8.86,13.44,78.76,78.25,354.2,29.75,19.01,1.7,47.35,337.97,0.34,1086.1,12.82,2358.98,7.0,688.75
0.11,1965.73,0.07,671.38,0.09,1322.27,0.76,2.58,1.07,0.45,1.09,0.06,3.84,23.25,0.04,1608.22,7900.74,2132.28,2.58,0.94,0.43,32.44,3.64,74.55,11.46,29.14,12.27,22.33,58.91,0.31,153.92,6.76,13.25,48.8,33.35,204.36,16.17,5.44,33.23,44.17,79.15,0.05,1264.86,28.86,2774.26,4.0,4967.76
0.14,3244.06,0.06,909.79,0.07,891.77,0.82,2.55,0.38,0.65,1.51,0.07,2.49,10.29,0.04,830.49,6792.22,51.2,1.6,1.17,0.66,15.72,32.93,11.52,87.91,348.77,39.47,15.07,80.67,35.01,0.24,9.01,6.16,49.67,17.36,91.18,25.13,11.67,13.99,178.14,158.55,0.3,478.89,17.2,1462.23,7.0,3085.26
0.05,530.17,0.1,1231.28,0.05,1312.72,0.14,2.24,0.8,0.38,1.32,0.05,2.25,11.45,0.07,2078.56,15772.64,2450.49,3.42,1.11,0.54,16.22,33.35,18.87,35.39,132.08,8.9,23.37,24.02,35.88,136.82,29.16,21.1,63.18,1.53,348.63,4.85,18.23,2.06,41.47,301.5,0.16,814.29,28.01,2960.58,7.0,3799.96
0.15,2505.18,0.13,641.66,0.07,550.95,0.9,2.13,0.46,0.49,1.14,0.04,3.25,17.57,0.07,265.51,10161.99,3332.68,3.71,1.38,0.44,33.03,23.94,59.79,36.05,192.54,6.6,6.74,33.9,138.98,305.2,9.27,16.64,58.44,34.58,291.99,35.99,29.39,0.89,47.93,222.6,0.14,1331.72,7.55,874.98,8.0,3115.23
0.15,1584.96,0.06,453.08,0.13,392.93,0.76,3.22,1.19,0.42,0.95,0.04,3.05,16.12,0.08,3414.57,3167.3,1198.93,4.16,1.29,0.81,12.23,23.46,72.1,153.01,146.01,19.89,38.54,84.15,27.15,255.72,3.77,3.37,58.5,136.18,49.11,28.25,26.82,81.42,162.67,56.51,0.16,358.25,27.09,164.93,5.0,219.51
0.15,952.6,0.08,615.59,0.09,846.27,0.37,4.86,2.53,0.62,2.57,0.05,5.9,29.05,0.07,1102.87,3434.03,2118.49,1.51,1.05,0.88,2.48,2.06,61.17,91.05,210.29,24.9,15.15,66.94,97.43,172.14,17.74,4.29,24.32,125.42,297.34,19.05,13.51,82.62,161.55,175.77,0.27,836.17,14.21,695.38,5.0,1215.15
0.11,1492.57,0.05,1189.04,0.12,367.22,0.63,1.42,0.61,0.35,2.09,0.06,1.9,13.05,0.07,4831.11,1512.26,2566.8,1.78,1.45,0.85,15.05,18.94,88.56,145.08,68.27,35.65,34.9,45.18,110.11,329.27,11.91,6.09,9.39,27.7,269.9,23.52,10.8,58.62,88.29,163.88,0.15,857.47,3.32,2449.48,7.0,0.0
0.15,392.46,0.12,908.66,0.17,981.21,0.76,3.18,0.92,0.42,1.24,0.05,0.74,24.2,0.03,418.68,5575.81,287.14,2.42,0.97,0.51,12.18,24.68,45.6,6.13,257.03,9.58,12.13,52.56,75.21,30.72,30.31,26.61,8.95,95.22,312.42,18.32,33.95,18.03,68.64,100.36,0.26,521.08,23.8,482.85,6.0,3504.81
0.08,311.01,0.07,865.02,0.1,690.09,0.11,3.57,2.87,0.42,2.0,0.05,5.17,16.93,0.04,441.73,18298.32,3191.75,3.3,1.28,0.76,30.88,23.22,62.48,137.06,300.85,35.61,16.32,16.83,82.23,218.51,11.26,13.76,51.86,126.64,329.23,14.58,32.86,34.09,58.45,143.14,0.23,1149.38,21.1,1046.54,5.0,6663.66
0.17,1967.85,0.15,1230.4,0.11,459.68,0.68,1.02,0.35,0.63,0.32,0.07,2.52,28.85,0.09,5243.24,2386.28,3504.97,1.04,1.19,0.56,10.36,35.04,87.75,86.74,73.93,17.88,4.25,1.38,116.23,251.39,7.61,12.93,59.38,136.28,217.54,17.52,13.96,53.4,84.9,72.13,-0.06,67.51,21.88,2574.82,6.0,1181.43
0.15,1650.27,0.03,1011.64,0.11,1220.95,0.17,4.11,0.38,0.66,0.48,0.07,3.11,14.62,0.08,3614.89,18690.06,695.58,2.69,0.73,0.75,7.96,3.55,24.04,51.94,11.81,8.79,17.21,21.54,119.36,70.36,31.8,21.47,71.44,124.83,258.57,23.57,9.57,88.68,137.72,226.89,0.05,1413.36,28.61,559.36,7.0,491.2
0.05,501.42,0.12,1549.48,0.04,1514.04,0.58,3.64,2.65,0.38,1.6,0.05,3.46,18.73,0.06,10682.72,2804.97,2887.16,3.78,0.86,0.74,8.19,6.79,76.53,159.18,107.74,17.77,29.7,40.16,142.05,160.25,29.22,13.05,26.43,5.43,338.08,22.88,20.66,11.97,109.34,148.8,0.22,1397.76,21.49,1469.1,6.0,293.5
0.02,1111.7,0.17,137.13,0.14,1003.66,0.41,3.42,2.98,0.67,1.33,0.06,4.85,28.48,0.05,3568.59,21125.75,3921.45,4.36,1.04,0.38,25.41,19.29,41.64,105.35,311.56,6.25,25.55,33.77,166.06,194.53,7.57,28.02,47.36,97.1,24.12,30.32,40.18,16.03,17.13,20.99,0.05,410.99,22.65,300.07,5.0,896.32
0.16,4696.09,0.17,498.37,0.17,385.94,0.28,1.29,0.36,0.66,0.62,0.04,5.87,27.38,0.04,46.51,3139.85,3382.9,3.91,1.47,0.73,29.25,15.73,16.27,72.26,36.76,14.57,5.82,86.67,151.29,331.14,8.48,30.04,10.58,34.77,213.63,8.52,15.91,57.68,46.84,330.56,-0.03,1287.8,25.59,1858.15,1.0,45706.99
0.1,204.8,0.17,276.47,0.05,418.22,0.11,1.19,2.2,0.41,1.58,0.05,4.94,24.69,0.07,8275.68,4190.21,3840.42,1.39,0.78,0.81,30.33,24.6,30.29,139.29,315.01,7.1,38.29,24.9,63.29,218.35,19.64,29.88,84.73,169.2,26.25,26.9,10.89,5.35,45.45,13.7,0.22,287.1,11.66,704.34,6.0,169.96
0.12,497.1,0.16,199.88,0.04,777.16,0.84,1.19,1.64,0.67,0.3,0.07,1.28,21.09,0.07,595.97,3194.05,1410.88,1.23,1.35,0.31,7.79,4.83,58.52,28.6,359.71,1.94,10.41,9.6,12.75,106.65,3.53,28.15,29.57,120.28,122.24,8.94,10.19,10.94,161.24,34.59,0.28,460.7,28.83,2867.29,8.0,13191.71
0.06,821.61,0.06,1504.4,0.1,1284.58,0.5,3.08,1.25,0.56,2.17,0.05,1.66,9.4,0.06,1135.06,27950.5,1633.15,4.06,1.33,0.54,11.88,11.11,25.88,46.81,6.26,20.81,21.08,37.04,176.64,58.69,24.56,13.29,52.23,55.83,301.11,10.56,5.17,37.95,5.9,63.18,0.14,344.09,29.37,1871.49,6.0,4632.4
0.02,341.34,0.04,1286.65,0.1,387.79,0.31,0.91,1.14,0.53,2.93,0.04,0.99,27.32,0.1,2386.93,4451.73,48.67,2.79,0.95,0.46,25.53,14.68,23.39,32.73,186.98,12.57,28.06,45.96,147.67,281.0,19.9,7.9,48.27,99.81,114.52,19.2,8.84,78.34,10.22,8.81,0.26,1359.59,1.7,2555.27,4.0,0.0
0.03,1175.11,0.08,1570.12,0.04,1391.67,0.61,1.2,1.78,0.65,0.53,0.06,2.04,12.99,0.05,902.78,5815.5,3270.33,3.78,0.73,0.87,18.78,6.52,35.0,56.48,321.98,11.85,10.38,59.3,117.05,307.08,19.81,4.1,56.45,61.27,359.68,16.36,37.24,52.51,48.03,315.11,0.28,56.23,20.27,248.66,4.0,0.0
0.11,699.85,0.09,1109.19,0.12,270.82,0.28,3.5,0.43,0.62,1.0,0.04,2.98,9.06,0.05,491.83,4980.64,322.75,2.86,1.21,0.48,4.7,5.7,9.6,66.77,31.35,14.79,27.88,62.93,9.16,340.71,14.39,10.2,30.76,11.01,297.53,22.37,1.24,29.67,95.96,43.15,0.02,1326.21,1.82,2273.79,7.0,350.86
0.14,1169.57,0.17,1240.44,0.11,595.94,0.78,3.84,1.25,0.46,2.86,0.04,5.95,18.62,0.05,4229.14,9611.38,1921.68,4.38,0.85,0.42,5.59,16.44,18.93,40.84,314.11,14.25,10.07,87.34,46.52,65.5,13.82,11.71,20.79,136.99,120.27,13.79,11.94,82.11,78.31,73.99,0.3,715.46,2.51,280.38,1.0,179.48
0.05,2715.37,0.08,120.0,0.03,1568.79,0.46,4.96,1.09,0.59,1.76,0.04,1.38,14.94,0.1,2118.28,7767.57,277.92,3.96,0.81,0.77,10.15,22.79,82.12,47.13,83.47,6.84,20.77,0.12,101.89,99.66,7.87,7.25,80.67,121.64,188.62,11.09,12.49,47.04,58.86,269.85,0.28,1306.57,10.61,2415.95,5.0,1172.66
0.07,1356.62,0.11,431.02,0.13,285.02,0.21,3.69,0.17,0.45,1.99,0.05,4.44,10.26,0.03,3994.78,1470.04,1477.14,1.58,0.81,0.58,12.17,8.79,77.73,92.56,295.28,8.68,23.82,28.26,144.51,257.56,1.95,10.6,27.45,35.26,90.35,30.09,27.68,32.99,61.13,353.47,0.15,416.75,8.35,2905.31,6.0,671.05
0.08,1936.15,0.17,343.02,0.07,603.87,0.8,3.06,0.87,0.41,2.36,0.05,3.49,28.83,0.08,17289.36,9364.18,1709.64,3.31,0.99,0.85,16.78,33.33,10.23,178.81,313.35,10.89,17.44,68.68,159.5,324.11,15.83,18.4,61.26,168.5,250.91,14.74,22.09,2.41,111.01,332.38,0.35,952.18,10.25,2819.84,1.0,4.43
0.05,914.33,0.06,2184.7,0.1,418.34,0.6,4.66,3.68,0.47,0.84,0.07,4.83,20.85,0.09,2439.25,41547.96,1511.86,2.85,1.18,0.78,6.6,37.83,51.16,132.54,38.47,18.67,11.94,30.45,60.4,155.68,27.76,20.18,24.52,13.1,7.2,16.5,23.46,49.79,126.17,179.91,0.14,1404.26,2.08,2395.9,6.0,540.0
0.08,545.84,0.14,1401.87,0.15,752.79,0.5,1.75,0.69,0.75,1.75,0.07,3.97,25.49,0.06,1808.95,15310.21,2354.66,1.44,1.02,0.52,17.03,13.58,87.36,109.38,103.71,18.81,38.89,87.28,67.5,27.42,20.87,10.59,71.83,41.68,157.08,28.97,10.59,40.07,127.26,82.97,-0.07,1198.47,0.65,385.46,3.0,611.45
0.12,2379.21,0.16,714.96,0.12,747.59,0.37,1.17,0.99,0.67,2.79,0.04,1.22,14.71,0.06,5501.75,11700.36,3765.38,2.01,0.73,0.49,21.38,17.57,54.49,14.11,80.76,20.92,18.35,47.49,155.69,227.49,12.63,5.34,3.93,110.3,288.43,17.11,10.08,37.33,57.12,148.55,0.31,671.22,29.67,1116.22,4.0,684.62
0.03,3037.65,0.16,651.62,0.12,287.54,0.63,4.17,0.12,0.38,2.85,0.07,0.89,17.44,0.04,4881.3,15202.6,807.32,1.45,1.47,0.66,25.66,7.68,79.32,79.76,263.97,24.65,6.98,22.4,76.54,179.66,23.33,24.16,9.25,53.65,18.85,22.11,17.88,64.27,36.26,222.7,0.39,831.34,17.14,616.52,3.0,269.75
0.17,263.8,0.06,339.57,0.1,812.89,0.57,4.13,1.34,0.4,2.67,0.04,4.66,21.78,0.1,2450.08,25633.12,1287.42,2.97,1.08,0.61,9.14,12.58,45.42,103.95,64.0,17.14,5.38,28.5,12.82,353.91,6.77,10.75,8.88,107.98,265.46,12.68,5.56,48.17,89.21,312.77,0.14,478.74,24.39,526.49,1.0,694.32
0.1,768.15,0.03,644.14,0.05,1218.29,0.23,0.92,0.91,0.47,0.66,0.06,5.31,15.5,0.07,7176.4,12834.54,2317.55,2.51,1.24,0.4,30.55,24.73,76.31,178.15,24.67,3.52,26.62,65.93,79.36,19.77,16.77,34.4,56.11,127.71,124.59,12.26,19.99,73.79,4.9,330.19,0.31,704.7,21.94,1452.06,3.0,480.76
0.04,1676.42,0.08,667.53,0.09,585.7,0.89,1.54,1.61,0.5,1.0,0.07,2.7,15.27,0.04,4831.05,1349.24,583.49,1.08,0.76,0.74,37.11,14.62,35.51,173.49,130.66,11.89,32.85,50.79,131.61,68.3,13.41,18.05,65.03,13.95,63.49,9.03,15.56,49.53,16.09,247.67,0.22,500.48,13.07,1933.53,1.0,489.45
0.14,2476.94,0.14,394.35,0.06,692.32,0.66,2.48,1.47,0.82,0.35,0.05,5.4,6.39,0.06,1929.99,2907.14,603.4,2.0,1.02,0.87,15.59,16.07,75.41,131.81,255.08,18.12,36.5,36.98,168.66,186.94,20.4,3.03,42.25,102.89,292.67,10.03,16.15,73.33,61.36,264.53,0.21,970.18,18.37,312.17,6.0,322.15
0.02,2439.23,0.06,377.93,0.03,1586.93,0.13,3.99,2.18,0.56,1.18,0.05,0.61,29.7,0.06,1874.65,19922.92,3325.0,4.01,1.41,0.32,1.55,23.23,73.33,85.47,175.71,8.31,17.28,62.39,102.81,133.99,22.6,34.43,80.15,78.72,284.28,7.07,7.6,32.89,161.27,214.53,0.37,1257.18,1.64,1882.57,2.0,1277.2
0.05,277.83,0.17,1891.47,0.16,2154.87,0.43,3.19,0.67,0.78,2.26,0.05,2.9,7.81,0.06,1935.57,6327.28,2837.97,2.25,1.21,0.47,5.14,3.18,47.47,163.3,60.61,41.62,16.77,28.72,62.05,86.25,4.31,6.61,15.74,153.39,77.15,6.48,16.4,36.65,142.22,331.28,0.2,1549.47,6.91,871.81,2.0,591.11
0.14,1299.82,0.13,1436.75,0.03,2208.81,0.76,1.38,0.9,0.85,2.52,0.05,5.26,21.88,0.1,2366.74,7324.64,2497.3,3.05,1.12,0.74,29.23,19.45,64.41,141.4,315.74,32.81,5.15,73.07,135.13,194.06,19.72,13.63,2.88,165.22,279.58,14.02,14.05,9.81,136.28,55.61,0.07,1534.39,23.27,300.25,5.0,473.66
0.02,214.11,0.06,290.07,0.08,116.26,0.34,1.16,2.05,0.81,1.15,0.06,2.43,17.03,0.07,7245.62,3919.9,3381.75,4.48,0.95,0.47,5.27,5.97,53.07,65.75,302.42,9.43,15.67,22.9,68.25,317.79,15.98,24.8,5.57,165.45,133.13,14.15,11.05,0.16,127.35,55.55,0.21,1424.55,1.43,1718.4,8.0,53.46
0.1,731.04,0.05,674.39,0.05,529.28,0.3,1.22,2.0,0.32,2.43,0.04,2.43,9.46,0.08,2050.24,9682.05,3734.6,3.16,1.08,0.44,19.21,5.44,14.0,57.87,66.45,4.59,28.88,54.65,52.35,33.18,25.24,31.38,4.36,7.12,180.68,5.53,21.3,83.9,110.62,21.25,0.39,1538.5,7.99,1713.04,5.0,964.29
0.08,709.44,0.16,737.62,0.03,1468.82,0.87,2.72,1.46,0.58,0.17,0.06,5.02,7.75,0.05,711.23,3048.65,462.63,2.76,1.38,0.74,25.85,17.06,10.05,42.06,218.89,17.68,13.97,53.68,52.1,107.46,18.19,18.88,10.56,85.25,10.57,9.75,12.46,51.37,79.7,330.59,0.21,844.43,28.23,187.5,1.0,967.91
0.08,1515.07,0.06,234.02,0.09,307.86,0.41,1.33,1.07,0.84,2.99,0.03,1.47,12.81,0.05,469.39,1271.8,2381.38,4.21,1.15,0.57,5.88,4.06,58.0,64.9,90.15,11.48,17.08,84.48,153.52,268.14,23.44,16.34,56.31,56.32,180.13,15.78,30.28,47.09,35.88,275.79,0.22,280.4,11.39,876.54,4.0,2843.25
0.03,972.46,0.13,671.59,0.1,908.77,0.2,4.54,0.52,0.62,2.43,0.04,0.74,24.88,0.03,640.18,7456.04,3743.13,3.46,1.38,0.87,29.15,4.69,81.02,169.98,97.73,28.05,20.65,22.7,154.85,221.81,32.37,21.44,27.24,167.84,12.59,16.41,8.23,10.54,154.17,130.47,0.2,1047.94,12.84,2261.45,8.0,5269.42
