Walls U Value,Walls Area,Floor U Value,Floor Area,Roof U value,Roof Area,Maintenance Factor,Mid-pane U value,Av Frame Width,Glazing g,Frame U value,Psi Factor,Infiltration Rate,Ventilation Rate,Shelter Factor,TFA,Volume,Occupants,Metabolic Gains,Electrical Gains,MVHR efficiency,W1H,W1W,W1A,W1B,W1dir,W2H,W2W,W2A,W2B,W2dir,W3H,W3W,W3A,W3B,W3dir,W4H,W4W,W4A,W4B,W4dir,Linear TB coef,length of TB,Point TB coef,Number of point TB,Floors,Total Heating E
0.15,23.32,0.18,1414.91,0.1,1540.59,0.69,2.48,0.18,0.59,2.4,0.07,4.66,9.11,0.07,1374.26,3622.64,332.28,1.69,0.9,0.62,5.45,20.14,49.69,49.12,66,3.12,39.78,42.84,104.97,156,2.1,39.79,68.33,81.17,246,7.56,10.71,61.65,179.84,336,0.04,88.66,28.62,1266.77,1.0,2540.23
0.13,542.96,0.16,1664.13,0.11,1832.95,0.17,4.33,0.9,0.75,2.33,0.04,3.99,17.14,0.03,3896.91,33364.81,289.48,3.92,1.44,0.34,11.22,37.08,87.18,133.34,76,9.69,45.78,1.67,67.65,166,30.04,6.92,50.97,65.55,256,4.73,46.23,14.48,87.37,346,0.37,890.95,3.9,879.09,3.0,220.82
0.04,827.51,0.18,333.35,0.12,398.56,0.18,2.79,1.62,0.56,2.99,0.07,1.75,6.57,0.04,1649.33,34308.06,329.14,1.77,1.14,0.63,12.07,12.31,83.89,76.0,17,14.29,4.98,38.96,89.95,107,10.01,7.93,9.29,129.42,197,23.62,6.89,65.96,13.76,287,0.21,554.24,15.33,576.25,6.0,576.02
0.09,106.26,0.12,1295.22,0.1,1619.55,0.67,2.52,1.47,0.85,0.63,0.06,2.44,9.41,0.08,3122.05,27009.92,276.93,3.11,0.96,0.4,11.0,28.6,28.47,66.31,29,31.37,10.19,17.3,6.56,119,14.93,24.53,47.08,145.15,209,15.94,9.7,26.91,13.89,299,0.22,225.23,28.07,1535.97,3.0,1292.27
0.11,1143.75,0.14,677.44,0.12,720.93,0.61,4.04,1.08,0.53,1.61,0.06,3.57,22.07,0.06,2429.45,22982.76,342.4,2.15,1.28,0.94,11.19,10.1,82.83,97.2,38,43.66,3.18,81.89,162.95,128,13.83,9.53,5.58,137.91,218,7.36,20.46,48.42,25.58,308,0.06,771.53,24.29,783.16,4.0,772.65
0.05,1552.33,0.08,1827.82,0.09,2329.39,0.71,3.77,1.11,0.63,1.05,0.04,4.17,7.67,0.06,4777.6,59694.53,310.35,2.02,1.08,0.52,3.78,36.9,88.53,143.64,63,13.69,13.69,15.6,84.51,153,5.59,43.11,65.01,71.28,243,53.41,5.47,9.02,8.69,333,0.11,403.37,21.81,3726.45,3.0,1624.6
0.1,1315.27,0.13,760.21,0.17,902.64,0.35,1.4,1.82,0.66,2.78,0.05,1.01,21.32,0.08,3764.84,70858.44,330.6,2.27,0.89,0.35,8.8,20.82,70.29,134.51,23,17.75,6.82,22.78,37.59,113,14.63,19.33,64.78,154.07,203,8.63,19.22,77.08,156.16,293,0.1,248.15,12.33,1530.36,7.0,516.82
0.14,2613.79,0.05,1401.91,0.17,1609.05,0.82,3.55,2.24,0.38,0.94,0.05,0.63,8.41,0.09,8686.26,252145.14,1769.35,3.47,0.9,0.3,4.7,88.78,33.64,178.35,88,5.25,54.67,8.01,86.75,178,14.72,25.49,5.26,169.12,268,4.19,94.92,5.12,87.28,358,0.22,2308.2,19.03,253.37,8.0,168.54
0.02,1399.61,0.03,1078.63,0.18,1393.14,0.27,2.13,2.03,0.31,0.13,0.07,2.63,24.28,0.06,6166.8,119897.03,1070.19,3.53,0.96,0.53,12.82,24.73,55.48,74.04,43,16.46,25.08,5.15,59.37,133,10.11,34.66,12.62,97.72,223,25.19,13.42,83.1,78.19,313,0.38,262.95,6.68,2317.98,7.0,375.23
0.07,2135.68,0.08,472.37,0.07,596.16,0.12,1.11,2.1,0.66,0.26,0.06,1.76,14.51,0.07,2441.62,65303.14,147.17,1.54,0.88,0.49,52.01,2.08,33.56,168.6,45,3.21,24.8,20.35,39.73,135,15.97,11.81,40.07,78.87,225,23.97,3.65,55.66,52.53,315,0.38,884.49,4.02,1884.97,7.0,386.42
0.12,2843.13,0.15,1147.02,0.15,1233.76,0.82,3.66,1.47,0.71,2.52,0.05,5.85,21.95,0.04,6997.65,172483.12,295.06,2.51,1.25,0.94,28.3,14.26,55.43,162.42,70,18.99,23.97,6.72,171.08,160,13.36,34.77,87.19,79.79,250,30.22,4.84,3.74,170.11,340,0.32,1427.3,16.8,2446.13,7.0,719.61
0.05,3018.14,0.04,2392.11,0.15,2611.47,0.19,4.12,1.4,0.84,0.77,0.05,2.78,23.42,0.05,9738.34,191796.25,1297.57,1.24,1.05,0.4,14.24,29.06,50.83,171.3,11,17.31,35.33,52.74,8.87,101,24.08,26.13,81.62,153.34,191,18.58,21.02,52.44,27.31,281,0.15,1017.33,9.74,1801.48,5.0,344.96
0.05,895.34,0.06,251.34,0.04,306.15,0.55,2.68,1.92,0.62,0.21,0.05,5.02,29.25,0.04,1294.37,31348.31,271.79,2.28,1.43,0.42,34.83,3.35,35.98,15.3,46,20.2,4.27,11.41,145.93,136,18.77,3.0,25.44,174.2,226,8.34,9.24,22.09,132.61,316,0.11,635.77,12.81,1165.44,6.0,1235.76
0.08,650.99,0.08,1191.25,0.17,1430.68,0.14,1.72,0.42,0.65,0.06,0.06,5.55,13.23,0.09,2940.67,25697.94,680.98,2.57,0.87,0.85,12.66,21.35,30.31,60.06,67,5.36,39.18,39.48,9.02,157,6.0,55.11,69.52,88.14,247,43.44,5.02,67.7,62.11,337,0.33,8.4,29.7,811.85,3.0,961.98
0.03,1138.72,0.17,279.33,0.13,316.69,0.14,0.88,0.9,0.74,0.61,0.03,4.58,16.03,0.09,1630.06,29304.26,202.06,3.34,1.03,0.45,43.55,4.19,55.06,115.22,60,12.83,5.59,58.34,174.56,150,9.59,5.39,89.07,26.02,240,6.29,13.59,51.59,72.45,330,0.17,767.95,28.04,1324.42,6.0,2226.22
0.05,1960.66,0.15,1147.9,0.15,1155.81,0.38,4.34,1.4,0.73,1.55,0.06,2.51,29.09,0.1,7449.07,164165.89,562.6,3.96,1.04,0.92,73.27,6.16,56.36,137.16,58,29.21,17.77,44.99,74.7,148,95.15,4.61,29.27,90.39,238,8.94,25.69,12.88,25.71,328,0.24,221.03,12.42,1495.9,7.0,392.12
0.03,2544.55,0.11,524.19,0.14,545.37,0.77,2.8,2.56,0.67,1.87,0.06,3.39,21.74,0.05,3024.49,91089.76,97.11,1.88,1.3,0.7,7.32,21.03,38.28,9.86,36,8.58,8.24,33.03,144.25,126,11.62,15.72,48.05,49.01,216,4.53,36.95,75.97,133.84,306,-0.08,367.59,28.85,1483.16,8.0,1392.67
0.1,3061.1,0.11,420.44,0.02,494.02,0.28,3.36,3.22,0.56,2.45,0.06,1.56,8.7,0.06,2511.68,69460.09,342.3,1.23,0.89,0.39,34.28,3.08,16.57,174.77,72,41.49,4.8,47.27,151.35,162,3.65,28.17,3.49,72.85,252,12.98,7.3,77.1,48.87,342,0.31,1386.34,4.88,1990.87,7.0,486.57
0.14,2678.94,0.05,404.66,0.14,502.83,0.11,4.39,3.6,0.4,2.75,0.07,4.62,24.25,0.05,2302.16,52058.68,386.34,1.83,1.38,0.72,10.35,12.23,66.27,97.29,84,16.19,1.66,38.37,176.77,174,3.58,34.97,26.79,175.96,264,17.86,5.02,19.19,10.19,354,0.07,1233.25,17.47,2545.42,8.0,1891.36
0.05,1650.26,0.07,1630.41,0.05,1838.8,0.85,0.86,0.87,0.37,1.1,0.04,4.34,11.56,0.04,4380.2,55278.94,851.64,1.46,0.81,0.76,2.91,28.39,3.28,70.26,75,13.75,16.25,51.98,13.53,165,15.07,12.76,59.57,8.57,255,18.04,13.65,64.55,50.61,345,0.28,735.97,25.27,1779.42,3.0,976.29
0.15,2427.27,0.09,269.58,0.08,347.47,0.77,2.98,3.29,0.73,0.78,0.06,1.52,15.22,0.09,1537.45,52081.84,201.14,1.82,1.05,0.69,7.67,12.93,78.44,12.23,51,8.72,7.71,60.45,175.52,141,11.57,5.51,59.6,138.28,231,3.43,31.49,32.5,158.97,321,0.11,661.94,10.23,194.23,7.0,284.46
0.06,2795.92,0.12,487.95,0.03,566.08,0.63,3.37,3.68,0.58,2.8,0.05,1.37,13.69,0.04,3022.14,97193.97,657.17,2.23,1.35,0.51,10.02,23.73,49.92,93.06,67,15.22,17.6,17.66,62.06,157,9.95,19.73,73.35,162.25,247,6.15,33.27,35.31,92.24,337,0.38,1484.95,8.36,336.2,8.0,246.62
0.08,262.88,0.08,144.78,0.04,184.91,0.21,4.51,0.3,0.6,1.48,0.07,3.0,9.95,0.1,131.5,553.45,23.6,1.21,1.01,0.85,0.67,9.96,24.76,52.39,18,2.59,3.94,42.73,21.86,108,3.63,1.83,57.32,117.05,198,2.04,3.26,24.2,107.59,288,0.39,14.76,16.59,411.97,1.0,4672.78
0.08,1023.67,0.06,447.54,0.05,470.41,0.34,1.88,0.96,0.46,2.81,0.05,5.34,14.24,0.03,997.57,8506.97,61.43,3.38,1.49,0.55,10.93,7.17,11.32,127.56,60,9.79,4.26,48.76,153.58,150,12.47,6.83,33.34,80.04,240,4.27,12.69,71.0,48.47,330,-0.09,192.76,7.8,179.29,3.0,177.82
0.13,492.71,0.16,840.42,0.04,863.14,0.32,3.77,1.32,0.5,1.69,0.04,0.66,8.29,0.08,2375.11,27107.99,439.21,1.03,1.23,0.4,7.74,13.77,81.48,142.13,66,10.54,17.77,49.41,141.78,156,22.62,5.21,5.96,124.37,246,19.01,7.07,49.04,10.81,336,0.24,280.07,10.4,515.22,3.0,284.62
0.05,2994.08,0.05,1770.46,0.15,2053.36,0.3,2.69,1.26,0.51,1.86,0.05,5.01,27.55,0.05,8273.01,160941.14,408.8,3.54,0.72,0.55,39.84,14.34,58.54,153.19,45,27.38,15.81,87.4,142.98,135,47.14,5.13,42.94,59.84,225,33.15,7.32,16.35,25.39,315,0.02,627.95,8.56,1463.76,6.0,289.64
0.06,134.21,0.03,389.0,0.07,445.84,0.84,3.26,0.23,0.54,1.59,0.06,2.47,26.61,0.08,373.32,1212.94,53.2,3.93,0.85,0.91,3.58,6.72,29.38,110.89,44,14.01,2.47,41.39,124.23,134,2.54,17.59,72.67,31.56,224,1.74,22.16,15.32,175.28,314,0.39,147.98,9.42,220.42,1.0,578.91
0.05,369.66,0.09,568.79,0.07,706.18,0.39,1.06,0.72,0.38,1.59,0.04,4.37,23.43,0.06,1034.6,7329.02,83.49,1.14,0.75,0.32,7.45,13.25,61.93,31.0,16,8.73,7.88,87.54,86.9,106,43.64,1.92,89.87,65.0,196,23.97,2.45,65.86,122.91,286,0.37,284.67,1.13,839.16,2.0,193.3
0.03,1011.56,0.09,194.44,0.04,214.59,0.75,3.43,1.4,0.73,2.65,0.06,2.23,6.96,0.05,909.53,16461.53,66.91,3.81,1.42,0.59,2.08,21.66,16.86,74.88,61,15.17,3.35,60.48,70.11,151,2.04,19.88,32.28,13.61,241,8.26,4.4,53.07,112.73,331,0.27,184.35,1.36,980.92,5.0,208.45
0.17,3578.01,0.03,1061.51,0.04,1067.43,0.32,2.78,2.32,0.61,2.44,0.07,1.58,18.97,0.05,6965.22,270317.01,1547.64,2.96,1.2,0.44,53.24,5.45,41.89,133.14,53,46.15,18.9,88.9,147.27,143,46.42,15.62,36.52,141.26,233,33.2,22.87,2.67,36.61,323,0.29,1335.39,1.69,3809.26,8.0,278.76
0.17,1069.24,0.12,709.43,0.12,836.06,0.39,3.69,0.54,0.7,2.17,0.07,3.65,18.49,0.06,1312.78,11239.02,167.96,1.13,1.19,0.77,10.53,10.75,72.44,45.35,20,12.73,4.14,64.88,36.0,110,8.18,4.48,84.42,54.51,200,4.73,12.7,75.8,175.94,290,0.4,383.27,8.91,1505.19,2.0,1018.86
0.09,412.95,0.08,609.04,0.15,702.42,0.76,1.02,1.75,0.68,0.23,0.03,5.25,18.79,0.06,3215.51,51018.08,553.01,4.17,1.38,0.52,17.81,17.81,22.73,120.35,63,21.55,7.5,68.84,137.96,153,16.3,15.02,23.71,32.79,243,36.59,13.61,21.98,20.67,333,0.06,1042.31,2.74,914.6,7.0,228.38
0.09,2143.12,0.09,1538.36,0.11,1628.86,0.33,3.95,0.84,0.77,1.47,0.04,3.24,23.59,0.08,8937.99,163211.92,1194.78,2.3,0.8,0.79,54.46,12.03,87.11,114.48,89,64.72,7.05,5.02,134.86,179,70.85,5.96,45.39,165.22,269,12.32,13.37,54.54,69.71,359,0.24,1460.27,17.72,2263.19,7.0,567.35
0.14,873.62,0.15,1783.83,0.04,2104.05,0.78,3.47,3.29,0.42,0.21,0.04,5.43,22.95,0.08,9187.52,228382.45,870.56,1.67,0.96,0.75,22.59,43.58,18.14,83.18,28,37.67,31.19,20.23,78.32,118,10.82,53.44,64.78,58.1,208,18.9,44.74,58.83,81.47,298,0.2,1498.83,8.59,1786.6,7.0,556.53
0.15,3044.77,0.05,368.66,0.12,423.61,0.21,4.31,0.88,0.65,1.07,0.04,4.75,27.26,0.04,2221.49,64208.35,425.03,2.77,1.39,0.68,7.49,26.65,62.3,129.73,0,19.67,10.77,55.39,76.24,90,11.22,18.44,27.0,147.64,180,14.13,14.42,42.67,51.34,270,0.11,740.94,4.08,2774.7,8.0,753.71
0.18,121.56,0.06,88.38,0.12,92.21,0.26,3.93,0.41,0.5,1.58,0.05,3.22,21.9,0.1,81.45,294.81,13.83,4.0,0.84,0.31,3.72,0.82,55.34,103.3,40,0.67,4.9,62.27,88.44,130,2.56,1.48,52.35,30.6,220,1.61,1.28,44.87,0.45,310,0.1,69.1,0.53,81.23,1.0,197.68
0.08,1811.7,0.18,121.3,0.11,156.77,0.76,3.66,2.7,0.76,2.76,0.04,5.04,27.34,0.09,587.5,16332.87,113.04,2.61,0.77,0.41,5.57,4.03,76.68,6.85,37,3.43,8.12,55.08,89.77,127,8.03,2.99,67.98,129.64,217,11.49,2.23,70.23,12.64,307,0.16,558.34,29.74,255.9,6.0,1639.14
0.05,1502.02,0.13,206.84,0.13,230.59,0.52,3.3,2.64,0.72,2.29,0.07,1.65,7.84,0.04,890.38,21815.61,119.01,4.44,1.33,0.78,14.41,4.52,20.35,150.26,42,7.15,9.44,74.33,37.2,132,15.34,6.48,62.29,21.27,222,8.73,5.04,26.14,149.45,312,0.38,505.5,21.64,1108.87,6.0,2448.21
0.15,1158.72,0.11,1216.65,0.07,1457.71,0.65,2.51,0.93,0.61,1.55,0.04,2.34,20.85,0.09,2906.07,26298.18,517.34,4.11,1.26,0.51,11.3,11.76,36.88,72.74,87,2.29,27.22,49.95,62.18,177,3.0,56.76,83.05,142.08,267,22.81,6.9,14.09,59.88,357,0.1,176.5,8.88,654.11,3.0,309.5
0.06,984.22,0.11,620.75,0.14,644.72,0.15,2.83,0.33,0.8,0.1,0.05,5.65,22.25,0.1,1599.4,20919.34,274.96,3.33,1.22,0.57,7.57,10.73,46.27,12.38,87,18.43,7.55,34.33,122.23,177,13.35,7.12,78.33,81.95,267,2.9,18.11,69.87,72.68,357,0.14,395.74,0.61,1140.26,3.0,313.94
0.15,638.75,0.03,1069.47,0.02,1162.99,0.37,3.66,1.5,0.43,1.79,0.05,2.66,13.98,0.06,5598.38,89331.31,123.56,3.44,0.88,0.56,9.55,41.46,21.42,7.33,59,23.76,13.01,73.58,87.34,149,40.41,10.93,35.12,121.6,239,4.58,79.58,53.6,133.12,329,-0.02,1210.67,20.16,1261.21,6.0,492.61
0.16,245.88,0.09,600.78,0.12,669.47,0.9,4.49,0.86,0.64,0.87,0.04,4.12,26.31,0.09,1009.37,4871.72,135.04,2.01,0.82,0.63,8.48,17.31,18.63,155.53,35,7.62,9.41,18.6,160.34,125,4.19,14.37,6.31,160.1,215,8.83,9.58,36.61,159.37,305,0.33,292.82,19.8,347.83,2.0,798.01
0.1,3141.66,0.15,1021.41,0.04,1145.08,0.9,1.32,3.84,0.52,0.94,0.07,4.01,29.61,0.04,7039.56,202244.22,488.5,2.05,1.08,0.75,29.57,21.87,15.02,29.8,61,33.02,23.86,85.61,161.18,151,42.94,13.95,43.06,163.01,241,11.06,26.17,2.92,170.31,331,0.34,1467.85,6.0,1028.82,8.0,219.2
0.15,830.44,0.05,1035.28,0.15,1052.38,0.3,3.69,1.98,0.68,1.57,0.04,5.16,9.82,0.06,5829.17,162283.58,1412.9,2.69,0.72,0.93,20.32,25.65,87.94,97.09,51,14.29,45.56,88.71,95.09,141,37.28,16.24,10.75,157.59,231,10.21,25.72,6.3,119.01,321,0.09,47.53,7.17,903.75,6.0,419.39
0.09,865.01,0.06,92.24,0.07,114.82,0.52,0.91,0.78,0.76,2.73,0.06,1.72,14.27,0.04,450.89,8460.44,26.82,2.87,0.98,0.8,10.57,2.24,79.76,54.84,83,4.72,7.02,64.31,147.45,173,5.49,5.84,39.28,97.75,263,1.76,10.99,84.82,37.27,353,0.38,552.52,5.24,519.31,6.0,622.22
0.04,2516.28,0.14,699.02,0.02,835.84,0.53,1.33,2.76,0.55,0.86,0.06,2.17,11.0,0.07,3444.34,68700.36,555.85,2.7,1.21,0.68,39.92,2.7,9.85,90.42,66,15.07,10.38,47.74,162.04,156,25.73,5.21,54.63,41.63,246,8.03,19.02,72.75,116.6,336,0.33,1161.38,27.17,2447.04,6.0,1779.03
0.04,257.76,0.16,776.38,0.12,970.21,0.38,4.65,0.64,0.67,1.46,0.04,4.4,19.05,0.09,1315.86,7539.68,222.27,1.64,1.49,0.46,6.0,22.19,31.24,36.03,74,6.77,7.51,52.49,24.56,164,12.47,7.59,87.27,120.09,254,9.59,12.11,35.41,44.76,344,0.24,373.53,1.68,859.58,2.0,294.69
0.13,367.7,0.07,1249.35,0.15,1519.71,0.85,4.71,0.43,0.62,2.09,0.07,3.23,18.8,0.06,1224.32,4885.42,304.44,3.47,0.8,0.77,3.59,10.31,55.2,18.65,30,10.96,6.33,47.17,169.24,120,2.46,39.42,65.25,93.02,210,3.99,22.63,60.05,59.47,300,0.14,51.21,11.49,1660.92,1.0,1506.04
0.17,1965.22,0.11,878.26,0.17,879.45,0.78,4.97,3.29,0.75,2.66,0.04,1.75,17.39,0.04,5157.42,128924.1,773.04,1.86,0.98,0.65,15.61,18.44,56.01,143.16,70,9.76,14.87,22.3,155.37,160,9.11,39.56,75.01,14.05,250,5.91,57.71,80.84,64.44,340,-0.01,607.78,15.45,2816.22,7.0,876.8
0.16,1402.41,0.15,847.2,0.09,1024.66,0.88,0.97,2.64,0.48,2.63,0.05,0.99,6.75,0.08,4647.28,107216.51,534.31,1.96,1.03,0.44,18.43,10.37,7.25,137.47,55,18.18,15.72,33.79,130.81,145,14.4,16.65,3.89,61.49,235,10.61,11.28,57.3,9.89,325,0.32,1271.05,8.55,436.87,6.0,150.75
0.15,1238.79,0.12,434.59,0.06,470.52,0.27,4.73,0.6,0.66,2.07,0.07,1.55,23.8,0.06,1360.5,19885.22,292.93,1.52,0.88,0.92,5.32,17.6,44.55,107.88,36,11.53,7.56,60.4,54.63,126,9.53,7.89,32.53,29.48,216,12.22,6.88,25.15,91.24,306,0.05,622.11,27.28,34.19,4.0,191.82
0.06,2979.33,0.11,950.85,0.18,1192.31,0.28,3.42,2.48,0.66,0.47,0.05,4.18,26.09,0.03,6880.44,222926.19,888.62,2.15,1.19,0.5,44.71,15.56,11.66,153.04,74,19.9,19.9,65.19,120.73,164,7.83,54.22,42.38,60.14,254,46.81,11.7,30.67,15.77,344,0.3,259.47,17.4,1668.65,8.0,594.25
0.02,220.89,0.09,487.92,0.15,549.3,0.5,2.82,0.12,0.57,1.12,0.04,5.59,26.68,0.04,450.81,1554.95,19.57,3.73,0.75,0.58,4.14,7.36,28.58,55.37,10,6.66,2.99,77.74,92.08,100,5.24,4.83,12.34,12.42,190,5.12,2.81,3.73,134.58,280,0.27,97.01,0.51,423.6,1.0,104.68
0.07,871.23,0.1,157.41,0.06,189.9,0.14,3.66,0.68,0.56,2.88,0.05,5.94,24.29,0.1,546.48,6430.58,11.63,2.8,0.9,0.9,3.54,9.21,20.55,150.16,8,14.83,1.08,88.73,113.28,98,2.1,15.35,80.89,77.46,188,9.04,2.54,3.25,26.3,278,0.33,254.28,6.94,700.34,4.0,1021.76
0.11,1934.37,0.12,312.68,0.14,367.03,0.83,2.02,3.36,0.59,2.43,0.04,4.92,29.77,0.06,1788.88,48836.89,111.23,3.12,1.06,0.79,8.25,15.07,76.54,103.0,8,19.63,6.16,36.81,143.2,98,10.23,10.65,52.39,158.31,188,9.84,9.45,67.51,34.98,278,0.24,14.62,21.82,2140.3,8.0,2551.05
0.1,120.65,0.03,1842.61,0.08,1991.6,0.83,4.27,0.9,0.32,2.1,0.04,3.6,18.67,0.03,3422.83,15234.63,690.02,4.36,0.84,0.8,20.52,11.85,26.31,50.86,19,9.44,14.03,7.66,35.57,109,10.4,18.01,29.71,90.19,199,32.85,4.74,75.63,149.38,289,0.39,433.21,25.45,337.96,2.0,286.96
0.05,471.67,0.17,2021.33,0.14,2563.67,0.16,3.01,1.15,0.36,2.22,0.06,2.25,26.57,0.09,8729.2,179013.82,614.47,2.91,0.72,0.79,14.71,35.92,39.76,161.35,33,22.77,19.7,4.71,149.75,123,11.05,80.71,13.68,155.68,213,19.38,43.18,31.41,98.62,303,-0.0,1762.61,18.74,2337.21,5.0,642.75
0.08,2408.22,0.1,221.33,0.05,286.28,0.85,3.4,0.9,0.47,1.68,0.03,5.34,16.74,0.09,945.06,17803.81,110.3,1.02,0.9,0.85,2.55,26.53,49.0,28.13,24,15.59,4.72,67.73,157.44,114,18.26,2.78,52.18,76.8,204,3.87,33.45,49.19,173.99,294,0.24,855.03,21.29,1589.75,5.0,3465.83
0.1,445.82,0.07,413.13,0.09,513.82,0.83,3.85,0.63,0.45,0.44,0.06,2.95,17.02,0.08,1020.93,9489.96,220.53,2.07,1.2,0.51,3.38,26.07,56.17,141.61,74,9.77,11.3,45.6,99.72,164,9.22,6.2,53.49,135.0,254,21.58,5.18,72.17,57.04,344,0.03,475.01,16.46,163.14,3.0,402.04
0.14,54.53,0.04,848.2,0.13,1021.92,0.32,1.7,0.34,0.33,1.19,0.05,3.83,20.67,0.08,790.24,2302.74,77.6,4.07,1.04,0.4,3.17,15.63,6.23,47.79,29,11.52,7.37,17.06,158.38,119,3.75,22.33,22.74,29.51,209,2.06,16.8,3.13,122.18,299,0.25,152.64,13.68,333.7,1.0,603.56
0.07,283.75,0.14,256.36,0.11,303.03,0.26,3.69,0.34,0.65,2.72,0.04,5.64,23.3,0.04,232.83,913.15,40.79,1.99,0.97,0.59,2.47,6.65,76.22,5.7,86,2.55,3.53,86.19,84.25,176,8.08,2.1,70.0,118.29,266,20.53,0.99,2.95,49.36,356,0.11,166.43,5.65,328.6,1.0,845.68
0.13,334.69,0.08,42.57,0.12,53.88,0.77,1.78,0.6,0.82,0.15,0.07,3.4,21.52,0.04,106.4,1103.74,4.77,2.94,1.25,0.6,1.95,3.76,79.57,177.78,30,1.93,3.34,69.74,56.21,120,3.02,3.49,21.09,65.4,210,5.33,1.23,17.98,21.17,300,0.02,130.41,2.03,11.66,3.0,93.67
0.09,1230.61,0.17,1029.77,0.03,1184.56,0.8,3.97,1.15,0.39,1.69,0.07,5.81,23.93,0.08,4048.37,63575.14,624.97,1.49,1.45,0.67,31.91,5.9,37.88,63.05,34,7.3,37.69,53.42,115.98,124,18.49,23.88,37.71,172.55,214,5.07,37.06,22.92,25.75,304,0.05,1030.37,21.6,1545.71,5.0,1047.88
